[32m2021-10-19 18:00:30.665 INFO  [ConcesionarioApplication][restartedMain] - Starting ConcesionarioApplication using Java 1.8.0_292 on WKSAR1091L.local with PID 25338 (/Users/mercedesosorioodreman/Desktop/concesionario/target/classes started by mercedesosorioodreman in /Users/mercedesosorioodreman/Desktop/concesionario)
[m[32m2021-10-19 18:00:40.692 INFO  [ConcesionarioApplication][restartedMain] - No active profile set, falling back to default profiles: default
[m[32m2021-10-19 18:00:40.770 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[m[32m2021-10-19 18:00:40.770 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[m[32m2021-10-19 18:00:41.599 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-10-19 18:00:41.602 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
[m[32m2021-10-19 18:00:41.658 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.security.repository.RolRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-10-19 18:00:41.661 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.security.repository.UsuarioRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-10-19 18:00:41.662 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 51 ms. Found 0 JDBC repository interfaces.
[m[32m2021-10-19 18:00:41.680 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-10-19 18:00:41.682 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[m[32m2021-10-19 18:00:41.738 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 49 ms. Found 2 JPA repository interfaces.
[m[32m2021-10-19 18:00:42.370 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@46b4452e' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-10-19 18:00:42.377 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-10-19 18:00:43.070 INFO  [TomcatWebServer][restartedMain] - Tomcat initialized with port(s): 8142 (http)
[m[32m2021-10-19 18:00:43.092 INFO  [Http11NioProtocol][restartedMain] - Initializing ProtocolHandler ["http-nio-8142"]
[m[32m2021-10-19 18:00:43.093 INFO  [StandardService][restartedMain] - Starting service [Tomcat]
[m[32m2021-10-19 18:00:43.094 INFO  [StandardEngine][restartedMain] - Starting Servlet engine: [Apache Tomcat/9.0.53]
[m[32m2021-10-19 18:00:43.221 INFO  [[/]][restartedMain] - Initializing Spring embedded WebApplicationContext
[m[32m2021-10-19 18:00:43.222 INFO  [ServletWebServerApplicationContext][restartedMain] - Root WebApplicationContext: initialization completed in 2451 ms
[m[33m2021-10-19 18:00:43.429 WARN  [JpaBaseConfiguration$JpaWebConfiguration][restartedMain] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[m[32m2021-10-19 18:00:44.617 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Starting...
[m[32m2021-10-19 18:00:47.407 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Start completed.
[m[32m2021-10-19 18:00:51.377 INFO  [LocalContainerEntityManagerFactoryBean][restartedMain] - Initialized JPA EntityManagerFactory for persistence unit 'default'
[m[32m2021-10-19 18:00:53.206 INFO  [DefaultSecurityFilterChain][restartedMain] - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@c38857a, org.springframework.security.web.context.SecurityContextPersistenceFilter@2d496d60, org.springframework.security.web.header.HeaderWriterFilter@4c60cfcf, org.springframework.web.filter.CorsFilter@4746fad4, org.springframework.security.web.authentication.logout.LogoutFilter@230126a, com.taller.concesionario.security.jwt.JwtTokenFilter@75d59639, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7ef197aa, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@589b32ae, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1dc1a911, org.springframework.security.web.session.SessionManagementFilter@62f05265, org.springframework.security.web.access.ExceptionTranslationFilter@391bf356, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@760e6935]
[m[32m2021-10-19 18:00:54.099 INFO  [OptionalLiveReloadServer][restartedMain] - LiveReload server is running on port 35729
[m[32m2021-10-19 18:00:54.143 INFO  [Http11NioProtocol][restartedMain] - Starting ProtocolHandler ["http-nio-8142"]
[m[32m2021-10-19 18:00:54.186 INFO  [TomcatWebServer][restartedMain] - Tomcat started on port(s): 8142 (http) with context path ''
